work_year,person_gender,experience_level,employment_type,job_title,salary,income_class,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,female,MI,FT,Data Scientist,30400000,upper,CLP,40038,CL,100,CL,L
2021,female,MI,FT,BI Data Analyst,11000000,upper,HUF,36259,HU,50,US,L
2020,female,MI,FT,Data Scientist,11000000,upper,HUF,35735,HU,50,HU,L
2021,female,MI,FT,ML Engineer,8500000,upper,JPY,77364,JP,50,JP,S
2022,female,SE,FT,Lead Machine Learning Engineer,7500000,upper,INR,95386,IN,50,IN,L
2021,female,MI,FT,ML Engineer,7000000,upper,JPY,63711,JP,50,JP,S
2021,female,SE,FT,Data Science Manager,7000000,upper,INR,94665,IN,50,IN,L
2022,female,EN,FT,Data Scientist,6600000,upper,HUF,17684,HU,100,HU,M
2022,male,EX,FT,Head of Machine Learning,6000000,upper,INR,76309,IN,50,IN,L
2022,female,EN,FT,Research Engineer,5500000,upper,JPY,41809,JP,50,JP,L
2023,female,MI,FT,Head of Data Science,5000000,upper,INR,60805,IN,50,IN,L
2023,female,EN,FT,AI Programmer,4950806,upper,INR,60207,IN,0,IN,S
2021,female,SE,FT,Machine Learning Engineer,4900000,upper,INR,66265,IN,0,IN,L
2022,male,SE,FT,Lead Data Scientist,4460000,upper,INR,56723,IN,0,IN,L
2020,male,EN,FT,Data Engineer,4450000,upper,JPY,41689,JP,100,JP,S
2022,male,MI,FT,Data Scientist,4200000,upper,INR,53416,IN,100,ID,L
2023,male,EN,FT,Applied Machine Learning Scientist,4000000,upper,INR,48644,IN,100,DE,L
2021,female,SE,FT,Data Scientist,4000000,upper,INR,54094,IN,100,IN,L
2021,female,SE,FT,Data Science Manager,4000000,upper,INR,54094,IN,50,US,L
2023,female,SE,FT,Data Science Manager,3600000,upper,INR,43779,IN,100,IN,L
2024,female,MI,FT,Lead Data Analyst,3300000,upper,INR,39615,IN,50,IN,L
2023,male,MI,FT,Data Science Manager,3200000,upper,INR,38915,IN,50,IN,L
2023,male,MI,FT,Data Analytics Manager,3200000,upper,INR,38915,IN,50,IN,M
2023,female,SE,FT,Data Integration Specialist,3000000,upper,INR,36483,IN,50,IN,L
2022,female,SE,FT,Principal Data Architect,3000000,upper,INR,38154,IN,100,IN,L
2021,female,SE,FT,Lead Data Scientist,3000000,upper,INR,40570,IN,50,IN,L
2020,female,MI,FT,Data Scientist,3000000,upper,INR,40481,IN,0,IN,L
2022,female,MI,FT,Data Engineer,2800000,upper,INR,35610,IN,50,IN,L
2023,male,MI,FT,NLP Engineer,2700000,upper,INR,32834,IN,100,IN,M
2022,female,MI,FT,Data Scientist,2500000,upper,INR,31795,IN,100,US,M
2021,female,MI,FT,Data Scientist,2500000,upper,INR,33808,IN,0,IN,M
2022,male,MI,FL,Applied Machine Learning Scientist,2400000,upper,INR,30523,IN,100,IN,S
2022,female,MI,FT,Data Scientist,2400000,upper,INR,30523,IN,100,IN,L
2024,male,MI,FT,Big Data Engineer,2300000,upper,INR,27611,IN,100,IN,L
2021,male,EN,FT,Data Engineer,2250000,upper,INR,30428,IN,100,IN,L
2021,male,EN,FT,Data Scientist,2200000,upper,INR,29751,IN,50,IN,L
2021,male,EN,FT,Data Scientist,2100000,upper,INR,28399,IN,100,IN,M
2023,male,EN,FT,AI Research Engineer,2000000,upper,INR,24322,IN,100,CH,L
2023,male,MI,FT,Machine Learning Software Engineer,2000000,upper,INR,24322,IN,50,IN,L
2022,female,EN,FT,Data Scientist,1800000,upper,INR,22892,IN,50,IN,M
2021,female,SE,FT,Machine Learning Engineer,1799997,upper,INR,24342,IN,100,IN,L
2023,female,EN,FT,Data Analyst,1700000,upper,INR,20673,IN,50,IN,L
2023,male,MI,FT,Applied Data Scientist,1700000,upper,INR,20673,IN,100,IN,L
2021,female,MI,FT,Big Data Engineer,1672000,upper,INR,22611,IN,0,IN,L
2022,male,MI,FT,Machine Learning Engineer,1650000,upper,INR,20984,IN,50,IN,L
2021,female,EN,FT,Data Engineer,1600000,upper,INR,21637,IN,50,IN,M
2023,male,SE,FT,AI Scientist,1500000,upper,ILS,417937,IL,0,IL,L
2023,female,MI,FT,Lead Data Analyst,1500000,upper,INR,18241,IN,50,IN,L
2021,female,MI,FT,Lead Data Analyst,1450000,upper,INR,19609,IN,100,IN,L
2023,male,MI,FT,Data Analytics Lead,1440000,upper,INR,17511,IN,50,SG,M
2022,female,MI,FT,Business Data Analyst,1440000,upper,INR,18314,IN,50,IN,L
2023,female,EN,FT,Data Engineer,1400000,upper,INR,17025,IN,100,IN,L
2023,male,MI,FT,Data Scientist,1400000,upper,INR,17025,IN,100,IN,L
2022,female,MI,FT,Business Data Analyst,1400000,upper,INR,17805,IN,100,IN,M
2022,male,EN,FT,Data Scientist,1400000,upper,INR,17805,IN,100,IN,M
2023,female,MI,FT,Product Data Analyst,1350000,upper,INR,16417,IN,100,IN,L
2021,male,EN,FT,AI Scientist,1335000,upper,INR,18053,IN,100,AS,S
2023,male,SE,FT,Data Analyst,1300000,upper,INR,15809,IN,100,IN,S
2022,female,MI,FT,Computer Vision Engineer,1250000,upper,INR,15897,IN,100,IN,M
2021,male,MI,FT,Data Analyst,1250000,upper,INR,16904,IN,50,IN,L
2021,female,MI,FT,Data Scientist,1250000,upper,INR,16904,IN,100,IN,S
2021,female,EN,FT,Big Data Engineer,1200000,upper,INR,16228,IN,100,IN,L
2023,male,EX,FT,Data Scientist,1050000,upper,NOK,100416,NO,50,NO,S
2023,female,SE,FT,Data Science Consultant,1000000,upper,THB,29301,TH,50,TH,M
2023,female,MI,FT,Data Analyst,866000,upper,PHP,15680,PH,50,PH,L
2023,male,MI,FT,Data Scientist,840000,upper,THB,24613,TH,50,TH,L
2024,female,MI,FT,AI Architect,800000,upper,USD,800000,CA,100,CA,M
2023,male,SE,FT,Data Scientist,800000,upper,NOK,76508,NO,50,NO,S
2024,male,EN,FT,Data Analyst,774000,upper,USD,774000,MX,0,MX,M
2024,female,SE,FT,Analytics Engineer,750000,upper,USD,750000,US,0,US,M
2024,male,MI,FT,Machine Learning Scientist,750000,upper,USD,750000,US,0,US,M
2024,female,SE,FT,Data Analyst,750000,upper,USD,750000,US,0,US,M
2024,female,MI,FT,Machine Learning Scientist,750000,upper,USD,750000,US,0,US,M
2023,female,MI,FT,Machine Learning Scientist,750000,upper,USD,750000,US,0,US,M
2023,male,MI,FT,Machine Learning Engineer,750000,upper,USD,750000,US,0,US,M
2023,male,MI,FT,Data Engineer,750000,upper,USD,750000,US,0,US,M
2023,female,SE,FT,Data Scientist,750000,upper,USD,750000,US,0,US,M
2024,female,MI,FT,Machine Learning Scientist,720000,upper,USD,720000,US,0,US,M
2024,female,SE,FT,Data Scientist,720000,upper,USD,720000,US,100,US,M
2024,female,MI,FT,Analytics Engineer,720000,upper,USD,720000,US,0,US,M
2024,female,SE,FT,Analytics Engineer,720000,upper,USD,720000,US,0,US,M
2024,female,SE,FT,Data Scientist,720000,upper,USD,720000,US,0,US,M
2024,male,MI,FT,Research Engineer,720000,upper,USD,720000,US,0,US,M
2024,female,MI,FT,Research Scientist,720000,upper,USD,720000,US,0,US,M
2024,male,MI,FT,Research Engineer,720000,upper,USD,720000,US,0,US,M
2020,male,SE,FT,Data Engineer,720000,upper,MXN,33511,MX,0,MX,S
2023,male,SE,FT,Analytics Engineer,700000,upper,USD,700000,US,100,US,M
2023,male,MI,FT,Analytics Engineer,700000,upper,USD,700000,US,100,US,M
2023,male,MI,FT,Machine Learning Software Engineer,627000,upper,ZAR,34482,ZA,50,ZA,L
2024,female,SE,FT,Research Scientist,600000,upper,USD,600000,US,0,US,M
2024,female,SE,FT,Prompt Engineer,600000,upper,USD,600000,US,0,US,M
2024,female,SE,FT,Research Engineer,600000,upper,USD,600000,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,550000,upper,USD,550000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,550000,upper,USD,550000,US,0,US,M
2024,male,MI,FT,ML Engineer,530000,upper,USD,530000,US,0,US,M
2023,male,MI,FT,Data Scientist,510000,upper,HKD,65058,HK,0,HK,L
2024,male,SE,FT,Research Scientist,500000,upper,USD,500000,US,100,US,M
2024,male,SE,FT,Research Scientist,500000,upper,USD,500000,US,100,US,M
2024,female,SE,FT,Research Scientist,484000,upper,USD,484000,US,100,US,M
2023,female,EX,FT,Data Engineer,465000,upper,USD,465000,US,0,US,M
2024,female,SE,FT,Research Engineer,450000,upper,USD,450000,US,0,US,M
2020,male,MI,FT,Research Scientist,450000,upper,USD,450000,US,0,US,M
2024,female,SE,FT,AI Architect,449000,upper,USD,449000,US,0,US,M
2024,male,EX,FT,Head of Machine Learning,448000,upper,USD,448000,US,100,US,M
2024,female,MI,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,male,MI,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,male,MI,FT,ML Engineer,440000,upper,USD,440000,US,0,US,M
2024,male,MI,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,female,SE,FT,Research Scientist,440000,upper,USD,440000,US,0,US,M
2024,male,MI,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,female,MI,FT,Research Scientist,440000,upper,USD,440000,US,0,US,M
2024,male,SE,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,female,MI,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,male,MI,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,male,SE,FT,Research Scientist,440000,upper,USD,440000,US,0,US,M
2024,male,SE,FT,Research Scientist,440000,upper,USD,440000,US,0,US,M
2024,male,SE,FT,Research Scientist,440000,upper,USD,440000,US,0,US,M
2024,male,SE,FT,Research Engineer,440000,upper,USD,440000,US,0,US,M
2024,male,EX,FT,Head of Machine Learning,438000,upper,USD,438000,US,0,US,M
2021,female,MI,FT,Applied Machine Learning Scientist,423000,upper,USD,423000,US,50,US,L
2024,male,SE,FT,Machine Learning Engineer,418000,upper,USD,418000,US,100,US,M
2024,female,SE,FT,Machine Learning Engineer,418000,upper,USD,418000,US,100,US,M
2021,female,EX,CT,Principal Data Scientist,416000,upper,USD,416000,US,100,US,S
2024,female,SE,FT,Machine Learning Engineer,414000,upper,USD,414000,US,0,US,M
2024,female,SE,FT,Applied Scientist,414000,upper,USD,414000,US,0,US,M
2020,male,SE,FT,Data Scientist,412000,upper,USD,412000,US,100,US,L
2023,male,SE,FT,Deep Learning Engineer,409500,upper,CAD,303387,CA,100,CA,M
2024,male,EX,FT,Machine Learning Engineer,408500,upper,USD,408500,US,0,US,M
2023,male,MI,FT,Research Scientist,405000,upper,USD,405000,US,0,US,L
2022,female,SE,FT,Data Analytics Lead,405000,upper,USD,405000,US,100,US,L
2024,female,SE,FT,Data Architect,400000,upper,USD,400000,US,100,US,M
2024,female,MI,FT,AI Engineer,400000,upper,USD,400000,US,0,US,M
2024,female,SE,FT,Data Analytics Lead,398900,upper,USD,398900,US,0,US,M
2024,female,SE,FT,Data Analytics Lead,398900,upper,USD,398900,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,392000,upper,USD,392000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,386100,upper,USD,386100,US,0,US,M
2024,male,MI,FT,Data Infrastructure Engineer,385000,upper,USD,385000,US,0,US,M
2024,male,SE,FT,AI Engineer,385000,upper,USD,385000,US,0,US,M
2024,female,SE,FT,Data Engineer,385000,upper,USD,385000,US,0,US,M
2024,male,MI,FT,Data Scientist,385000,upper,USD,385000,US,0,US,M
2023,female,EX,FT,Data Engineer,385000,upper,USD,385000,US,0,US,M
2023,female,SE,FT,Data Engineer,385000,upper,USD,385000,US,0,US,M
2023,female,SE,FT,Research Engineer,385000,upper,USD,385000,US,0,US,M
2023,male,SE,FT,Data Engineer,385000,upper,USD,385000,US,0,US,M
2023,male,SE,FT,Data Infrastructure Engineer,385000,upper,USD,385000,US,0,US,M
2023,female,SE,FT,ML Engineer,385000,upper,USD,385000,US,100,US,M
2023,male,SE,FT,Data Analyst,385000,upper,USD,385000,US,0,US,M
2023,male,SE,FT,ML Engineer,383910,upper,USD,383910,US,0,US,M
2024,male,SE,FT,Research Scientist,382320,upper,USD,382320,US,0,US,M
2024,male,EX,FT,Data Science,381500,upper,USD,381500,US,0,US,M
2024,male,SE,FT,Data Architect,381500,upper,USD,381500,US,0,US,M
2022,female,SE,FT,Applied Data Scientist,380000,upper,USD,380000,US,100,US,L
2023,male,SE,FT,Data Architect,376080,upper,USD,376080,US,100,US,M
2023,male,EX,FT,Director of Data Science,375500,upper,USD,375500,US,100,US,M
2022,female,SE,FT,Machine Learning Software Engineer,375000,upper,USD,375000,US,100,US,M
2022,female,SE,FT,Data Science Tech Lead,375000,upper,USD,375000,US,50,US,L
2023,female,SE,FT,Research Scientist,374000,upper,USD,374000,US,0,US,M
2024,male,EX,FT,Head of Machine Learning,373000,upper,USD,373000,US,100,US,M
2023,male,SE,FT,AI Engineer,372000,upper,USD,372000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,370000,upper,USD,370000,US,0,US,M
2023,male,SE,FT,Research Scientist,370000,upper,USD,370000,US,0,US,M
2023,female,SE,FT,Research Engineer,370000,upper,USD,370000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,370000,upper,USD,370000,US,0,US,M
2023,female,SE,FT,Data Engineer,370000,upper,USD,370000,US,0,US,M
2023,male,SE,FT,Data Scientist,370000,upper,USD,370000,US,0,US,M
2023,male,SE,FT,Research Engineer,370000,upper,USD,370000,US,0,US,M
2023,male,SE,FT,Research Scientist,370000,upper,USD,370000,US,0,US,M
2023,female,SE,FT,Research Engineer,370000,upper,USD,370000,US,0,US,M
2023,female,SE,FT,Research Engineer,370000,upper,USD,370000,US,0,US,M
2023,female,SE,FT,Research Scientist,370000,upper,USD,370000,US,0,US,M
2023,female,SE,FT,Data Scientist,370000,upper,USD,370000,US,0,US,M
2023,male,SE,FT,Research Scientist,370000,upper,USD,370000,US,0,US,M
2023,female,SE,FT,ML Engineer,365630,upper,USD,365630,US,0,US,M
